,char1,char2,filename_bbox_count,xml_content_bbox_count,gross_count,presence,mismatch,keys_filename,key_xml_content,human_key,subject_gender,subject_id,front_back,time,file,file_id
30,S,P,2,1,1,1,0,"['WB', 'CK']",[],HUMAN,M,6,back,0906144245,S_P_M6_WB_F_S_CK_V_LA_back_0906144245.jpg,48cbe7f0d7df06c6b709eeb2d32a255e
31,S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,2,front,0907144924,S_N_F2_MD_F_RT_SS_V_LA_front_0907144924.jpg,aeb495a0295a6bdb829d65675e8d8946
32,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,F,2,front,0907151118,S_N_F2_CP_F_RA_KC_V_N_front_0907151118.jpg,2a8e47d357609480bc93bde1079d236d
33,S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,5,front,0906084747,S_N_M5_SS_F_W_MD_V_W_front_0906084747.jpg,e9ae89dce77fb11d877c9e75aa014a35
34,S,N,1,1,0,0,0,['CP'],[],HUMAN,M,5,back,0906101824,S_N_M5_CP_L_LT_back_0906101824.jpg,a7999fe2f9e5f85a3e5c9914a2cbd7a2
35,S,P,2,2,1,1,0,"['MD', 'SS']",['SS'],HUMAN,M,6,back,0906143547,S_P_M6_MD_F_LL_SS_V_LL_back_0906143547.jpg,2f855af41e160420dbd28c3bc838f359
36,S,N,1,1,0,0,0,['GA'],[],HUMAN,M,6,front,0906151514,S_N_M6_GA_R_LL_front_0906151514.jpg,693db093ba6d3670b2138ce9849f1393
37,S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,front,0903124359,S_N_M1_GA_F_W_KK_V_W_front_0903124359.jpg,b66ffb0ed54532e91ca879f9f1e2370f
38,S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,4,front,0910155050,S_N_F4_MD_F_LT_SS_V_N_front_0910155050.jpg,6e1454eaffa8de1d8423fad6e0a78774
39,S,N,1,1,0,0,0,['GA'],[],HUMAN,M,3,front,0905103042,S_N_M3_GA_R_W_front_0905103042.jpg,e640b847bbd6e6e733af76d5e0ab6c75
40,S,P,2,1,1,1,0,"['CL', 'LW']",[],HUMAN,F,1,front,0907101541,S_P_F1_CL_F_C_LW_V_LA_front_0907101541.jpg,2eed4f15c20d88cafd35084569906ffb
41,S,P,2,2,1,1,0,"['CP', 'KC']",['CP'],HUMAN,F,4,front,0910161248,S_P_F4_CP_F_LT_KC_V_N_front_0910161248.jpg,998c9d1fdc04f64072232833299d55be
42,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,F,1,front,0907101104,S_N_F1_CP_F_RL_KC_V_RL_front_0907101104.jpg,c0cba05c14103f28b5b1435d3d102a3c
43,S,P,2,2,1,1,1,"['KC', 'CP']",['UNKNOWN'],HUMAN,M,4,front,0905150801,S_P_M4_KC_F_LA_CP_V_RA_front_0905150801.jpg,8fd2aae39e27c7a2756fc18f93463928
44,S,P,2,1,1,1,0,['CK'],[],HUMAN,F,3,back,0910111555,S_P_F3_CK_R_RL_back_0910111555.jpg,1fd936fafffef356e63bde166e204b2f
45,S,P,2,2,1,1,0,"['LW', 'CL']",['LW'],HUMAN,M,5,front,0906095345,S_P_M5_LW_F_RT_CL_V_N_front_0906095345.jpg,28aaa65dc9396d5f6626f73f3cb0fb2d
46,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,1,front,0903144426,S_N_M1_CK_F_RL_WB_V_W_front_0903144426.jpg,828a7dbf6c37722dce7f39e00601b035
47,S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,3,front,0905102055,S_N_M3_LW_F_RL_CL_V_RL_front_0905102055.jpg,2b762967f32a6bee759d90a96aaccc24
48,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,4,front,0905144614,S_N_M4_CK_F_RT_WB_V_N_front_0905144614.jpg,dfbeaa575c04c3ecf7924aaeea754478
49,S,P,2,2,1,1,0,"['KC', 'CP']",['CP'],HUMAN,F,1,back,0907095709,S_P_F1_KC_F_RT_CP_V_LT_back_0907095709.jpg,bc0a50108a99cff1c8e1f600abbf9810
50,S,P,2,1,1,1,0,['MD'],[],HUMAN,F,3,front,0910111452,S_P_F3_MD_L_LL_front_0910111452.jpg,1f11660b89b8513b4839410e8e1d26fc
51,D,P,3,1,2,1,0,"['GA', 'KK']",[],HUMAN,M,5,back,0906103806,D_P_M5_GA_F_RT_KK_F_W_back_0906103806.jpg,2db69a51b075c5b2e7bda9461cd1bd2e
52,D,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,6,back,0906153347,D_N_M6_SS_V_RT_MD_V_B_back_0906153347.jpg,d9e6fe700577b3837c36891e1a351793
53,S,P,2,2,1,1,0,"['SS', 'MD']",['MD'],HUMAN,M,6,back,0906142648,S_P_M6_SS_F_W_MD_V_W_back_0906142648.jpg,7f3cfe7171270861ad1d4a508b3fb175
54,S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,F,1,front,0907090639,S_N_F1_GA_F_C_KK_V_LT_front_0907090639.jpg,5735f043652e2d581aa0060e10992b54
55,S,P,2,1,1,1,0,['CK'],[],HUMAN,M,1,back,0903162012,S_P_M1_CK_R_RA_back_0903162012.jpg,baf14fba60464ce7c18ccad90bce0f91
56,S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,M,6,front,0906141853,S_N_M6_KK_F_LT_GA_V_W_front_0906141853.jpg,ea12be9d0a75d21ab2073de9a8dbb965
57,S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,F,1,back,0907092704,S_N_F1_SS_F_RL_MD_V_RL_back_0907092704.jpg,6e7e6504dfdef1be7523e47db3c970b7
58,S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,M,2,front,0904085208,S_N_M2_KK_F_RT_GA_V_N_front_0904085208.jpg,049e7834adfb5f4df4bf63151cbeb838
59,S,P,2,2,1,1,1,"['MD', 'SS']",['UNKNOWN'],HUMAN,M,3,front,0905091223,S_P_M3_MD_F_RA_SS_V_LA_front_0905091223.jpg,37cf3b26baf67fd92f7227475a0a29e8
60,S,N,1,1,0,0,0,['CL'],[],HUMAN,M,3,front,0905105914,S_N_M3_CL_L_W_front_0905105914.jpg,2d0d2b98247bde1f2a6788506e27f067
61,S,P,2,2,1,1,0,"['LW', 'CL']",['LW'],HUMAN,F,4,front,0910162048,S_P_F4_LW_F_RA_CL_V_RA_front_0910162048.jpg,e9e09bb206260958e862ca1bc376e06c
62,S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,M,6,back,0906145300,S_N_M6_KC_F_LL_CP_V_LL_back_0906145300.jpg,f299f98cf6bb2cf05e5ba73260db668b
63,S,P,2,1,1,1,0,"['LW', 'CL']",[],HUMAN,M,3,back,0905101544,S_P_M3_LW_F_W_CL_V_N_back_0905101544.jpg,44670d311341d308f632ae595ffb7df2
64,S,P,2,2,1,1,1,"['WB', 'CK']",['UNKNOWN'],HUMAN,M,2,back,0904100227,S_P_M2_WB_F_RT_CK_V_LL_back_0904100227.jpg,3a3ed8fa54fdefca2c9c12031d24f334
65,S,N,1,1,0,0,0,['CK'],[],HUMAN,F,4,front,0910163102,S_N_F4_CK_L_LL_front_0910163102.jpg,5381c60a9bc6b75a54bc8207b892ab55
66,D,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,front,0903164009,D_N_M1_GA_F_RT_KK_F_W_front_0903164009.jpg,c10c995eb09f01415763c61117d00efd
67,S,N,1,1,0,0,0,['CP'],[],HUMAN,M,4,back,0905160025,S_N_M4_CP_L_RL_back_0905160025.jpg,36b3345868479638b4deee1e61d5a995
68,T,N,1,1,0,0,0,"['GA', 'KK', 'SS']",[],HUMAN,F,2,back,0907160352,T_N_F2_GA_F_C_KK_F_S_SS_F_RT_back_0907160352.jpg,b38f35ec438075fdad2b4633753b978d
69,S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,M,6,front,0906143600,S_N_M6_MD_F_LL_SS_V_LL_front_0906143600.jpg,236b90eecb60ffa929dc07cc2b02aed5
70,S,P,2,2,1,1,0,"['GA', 'KK']",['GA'],HUMAN,M,4,front,0905141125,S_P_M4_GA_F_W_KK_V_W_front_0905141125.jpg,53677d27b09e41ba376aa2c00983cc99
71,S,P,2,2,1,1,0,"['MD', 'SS']",['MD'],HUMAN,F,2,front,0907144714,S_P_F2_MD_F_LT_SS_V_LL_front_0907144714.jpg,82712bece02688ad714a366312e0c560
72,S,P,2,2,1,1,1,"['CL', 'LW']",['CK'],HUMAN,M,4,front,0905151844,S_P_M4_CL_F_LA_LW_V_W_front_0905151844.jpg,7c325ec57ac41a233db10552aad96642
73,S,P,2,2,1,1,1,"['MD', 'SS']",['CK'],HUMAN,M,4,front,0905144216,S_P_M4_MD_F_LL_SS_V_RL_front_0905144216.jpg,fc9c2c01d647b403c7107bc9ab80d672
74,S,N,1,1,0,0,0,['CP'],[],HUMAN,F,2,front,0907154931,S_N_F2_CP_L_LL_front_0907154931.jpg,19271b2fa83af9c0dc9d826e85f7bd94
75,S,P,2,2,1,1,0,"['MD', 'SS']",['SS'],HUMAN,M,2,back,0904093524,S_P_M2_MD_F_RT_SS_V_N_back_0904093524.jpg,597883bf8fc83fdbfd4e1443af7d8f97
76,S,P,2,2,1,1,1,"['SS', 'MD']",['CK'],HUMAN,M,2,back,0904091030,S_P_M2_SS_F_C_MD_V_W_back_0904091030.jpg,067160b5d9709fb51fa2664f39215def
77,D,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,5,front,0906104124,D_N_M5_CK_F_S_WB_F_LT_front_0906104124.jpg,b077ba304d82fb9fbcf00d7b1459700d
78,S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,M,5,front,0906090231,S_N_M5_MD_F_LT_SS_V_N_front_0906090231.jpg,babef4c5d32d40a07c644a643d70b61e
79,S,N,1,1,0,0,0,['MD'],[],HUMAN,F,2,back,0907154327,S_N_F2_MD_R_RL_back_0907154327.jpg,8fbc0d2d7a8c4597b532808aec8f800a
80,S,P,2,2,1,1,1,['LW'],['CL'],HUMAN,M,3,back,0905110150,S_P_M3_LW_L_LL_back_0905110150.jpg,e80ad179504939fea27b7d5b24c5a701
81,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,3,back,0910102704,S_N_F3_CK_F_RA_WB_V_W_back_0910102704.jpg,b7db21cdad84ec79d01e39de1ce46c34
82,S,P,2,2,1,1,1,"['KK', 'GA']",['UNKNOWN'],HUMAN,F,4,front,0910153934,S_P_F4_KK_F_LT_GA_V_W_front_0910153934.jpg,2e8f88bd055732b0c0783f22fa8a993b
83,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,M,5,back,0906092649,S_N_M5_CP_F_W_KC_V_B_back_0906092649.jpg,bae32e6e23a29ab0edf1cd1b5f4a70ee
84,S,N,1,1,0,0,0,['WB'],[],HUMAN,M,2,back,0904113242,S_N_M2_WB_R_W_back_0904113242.jpg,48ddb7c9d7b6ad133ae7b0329efaa6b7
85,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,M,4,front,0905151405,S_N_M4_CP_F_W_KC_V_W_front_0905151405.jpg,35527ec988507ffda2e3a4945abec021
86,S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,F,3,front,0910094852,S_N_F3_GA_F_S_KK_V_B_front_0910094852.jpg,0f1735f5834002de1850022d0612b3db
87,S,P,2,1,1,1,0,['LW'],[],HUMAN,F,3,front,0910151415,S_P_F3_LW_L_LL_front_0910151415.jpg,3c6bf03ba9029a2dee57e5587b1de3cf
88,S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,M,2,back,0904101537,S_N_M2_KC_F_RA_CP_V_LA_back_0904101537.jpg,79fff1d81ffb79788de607f7a0ba27ee
89,S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,1,back,0903153049,S_N_M1_LW_F_LT_CL_V_W_back_0903153049.jpg,e76dce69e27250cdf26ed34c2a628995
90,S,P,2,2,1,1,1,['GA'],['UNKNOWN'],HUMAN,F,2,front,0907153539,S_P_F2_GA_R_RT_front_0907153539.jpg,5c06e6159c4ce4e03be192125d64cfd6
91,S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,back,0903125335,S_N_M1_GA_F_LT_KK_V_RT_back_0903125335.jpg,ac068a77364deef2cdee853dc4c15f83
92,S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,4,back,0905153040,S_N_M4_LW_F_LL_CL_V_RL_back_0905153040.jpg,4e211173e41f3f81be81abd7b4a153b7
93,D,P,3,3,2,1,0,"['GA', 'KK']","['GA', 'KK']",HUMAN,F,3,front,0910151647,D_P_F3_GA_F_RT_KK_F_LT_front_0910151647.jpg,6eb9723249d013198aaa5000b6788eec
94,S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,6,front,0906142605,S_N_M6_SS_F_LA_MD_V_LA_front_0906142605.jpg,827c39fcd1112166eefdb251349eb5e2
95,S,N,1,1,0,0,0,['GA'],[],HUMAN,F,3,back,0910111026,S_N_F3_GA_R_W_back_0910111026.jpg,e342c645e5c5c48e8e001d953b785758
96,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,M,3,back,0905095756,S_N_M3_CP_F_RL_KC_V_LL_back_0905095756.jpg,bcc8f8604a1ee42ad0e3173131cd9199
97,T,P,4,1,3,1,0,"['GA', 'KK', 'SS']",[],HUMAN,F,1,back,0907141310,T_P_F1_GA_F_W_KK_F_C_SS_F_LA_back_0907141310.jpg,f04eec408565ed8847fe680cd076a0f0
98,S,P,2,2,1,1,0,['WB'],['WB'],HUMAN,M,1,front,0903162705,S_P_M1_WB_R_RT_front_0903162705.jpg,a9df437b0237a35798660e4d8a60eb13
99,T,P,4,3,3,1,0,"['KC', 'CP', 'CL']","['CP', 'CL']",HUMAN,M,6,back,0906154431,T_P_M6_KC_V_RL_CP_V_N_CL_V_B_back_0906154431.jpg,49be6ead2cfe2991b119c9f956a98ffc
100,S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,F,4,back,0910154717,S_N_F4_SS_F_RL_MD_V_LL_back_0910154717.jpg,729417783fdfede112bb7fe0d3d01c68
101,S,P,2,2,1,1,0,"['KK', 'GA']",['KK'],HUMAN,F,3,front,0910095721,S_P_F3_KK_F_LT_GA_V_N_front_0910095721.jpg,828b3792b457ea902104458b9ac48b11
102,S,N,1,1,0,0,0,['SS'],[],HUMAN,M,4,back,0905153838,S_N_M4_SS_R_RT_back_0905153838.jpg,0847317394f6b24f82a0d290b684de60
103,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,3,front,0910102704,S_N_F3_CK_F_RA_WB_V_W_front_0910102704.jpg,275948c83c26422f0ad44944d5902907
104,S,P,2,2,1,1,1,"['WB', 'CK']",['UNKNOWN'],HUMAN,M,3,back,0905092439,S_P_M3_WB_F_S_CK_V_LA_back_0905092439.jpg,32f2ae31222423b0305bb7657e28d7c2
105,D,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,M,4,front,0905160843,D_N_M4_KC_V_N_CP_V_LL_front_0905160843.jpg,cafb9ff28db58a309bc815e60f9a455e
106,S,P,2,2,1,1,0,"['CP', 'KC']",['KC'],HUMAN,M,5,back,0906092635,S_P_M5_CP_F_W_KC_V_B_back_0906092635.jpg,566b12bb8f676fa805766070be4b89aa
107,S,P,2,2,1,1,1,['GA'],['UNKNOWN'],HUMAN,M,2,back,0904111845,S_P_M2_GA_R_W_back_0904111845.jpg,09195f65fc71a4e8ee8c31082acb7db8
108,S,N,1,1,0,0,0,['CP'],[],HUMAN,M,5,back,0906101913,S_N_M5_CP_R_RT_back_0906101913.jpg,3daecdff467d8a6bbb3e4d616e2a25f4
109,S,P,2,2,1,1,0,"['CK', 'WB']",['CK'],HUMAN,F,3,front,0910102934,S_P_F3_CK_F_LL_WB_V_RL_front_0910102934.jpg,31222d58dec329a578cc490328eda98d
110,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,M,5,back,0906092943,S_N_M5_CP_F_RT_KC_V_N_back_0906092943.jpg,6619509430a1f7213379f8b63e7d025c
111,S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,F,1,back,0907091704,S_N_F1_KK_F_LA_GA_V_LL_back_0907091704.jpg,f029649f052b23119ebd9501290723b1
112,S,N,1,1,0,0,0,['KC'],[],HUMAN,M,3,front,0905105334,S_N_M3_KC_R_W_front_0905105334.jpg,8fbae9e63ebab1cfb8406a2272b96250
113,S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,2,back,0904091058,S_N_M2_SS_F_C_MD_V_W_back_0904091058.jpg,fb69e7cb458bae918682db794c610d7d
114,S,P,2,2,1,1,1,"['SS', 'MD']",['CK'],HUMAN,M,1,back,0903131038,S_P_M1_SS_F_LA_MD_V_RA_back_0903131038.jpg,c705f2c447f3327167faccbc7f6b1961
115,S,P,2,2,1,1,1,"['CK', 'WB']",['UNKNOWN'],HUMAN,F,3,front,0910102638,S_P_F3_CK_F_RA_WB_V_W_front_0910102638.jpg,0178a6f147582a16bd7a1425316f8816
116,S,P,2,1,1,1,0,['CK'],[],HUMAN,F,2,back,0907154426,S_P_F2_CK_L_LL_back_0907154426.jpg,59c54593c8223d1c76bcdea0634fcc3d
117,S,P,2,2,1,1,1,"['SS', 'MD']",['CK'],HUMAN,M,5,back,0906085003,S_P_M5_SS_F_RL_MD_V_RL_back_0906085003.jpg,7d4a18b09a469d277f4c8a17439ebf43
118,S,N,1,1,0,0,0,['LW'],[],HUMAN,F,2,front,0907155306,S_N_F2_LW_L_LL_front_0907155306.jpg,8b93f0bc086794751ad63746c02b5fe1
119,S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,M,4,back,0905142014,S_N_M4_KK_F_S_GA_V_B_back_0905142014.jpg,4c73bdbc5ec42785ea8a88d389dd5aa4
120,S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,5,back,0906090558,S_N_M5_CK_F_RA_WB_V_B_back_0906090558.jpg,4957efd001c7c90ef0196bd877ce4312
121,D,P,3,2,2,1,0,"['CL', 'LW']",['CL'],HUMAN,F,1,front,0907141116,D_P_F1_CL_V_LA_LW_V_RA_front_0907141116.jpg,0003275496cab7d713160e22071f0e32
122,S,N,1,1,0,0,0,['LW'],[],HUMAN,F,2,back,0907155344,S_N_F2_LW_L_RL_back_0907155344.jpg,f0e77596ae2ea6f6bd739a7b880b695a
123,S,P,2,2,1,1,0,"['CK', 'WB']",['CK'],HUMAN,M,6,front,0906143835,S_P_M6_CK_F_LT_WB_V_N_front_0906143835.jpg,a392deb7a1b770d731e740bea49ec76a
124,S,P,2,2,1,1,0,"['GA', 'KK']",['KK'],HUMAN,F,3,back,0910095116,S_P_F3_GA_F_RT_KK_V_N_back_0910095116.jpg,fede335bd19ae7f28c536856ebe9e730
125,S,P,2,2,1,1,0,"['LW', 'CL']",['LW'],HUMAN,M,6,front,0906150836,S_P_M6_LW_F_W_CL_V_RT_front_0906150836.jpg,73c19d576000533d7e0fb3d45c2ea769
126,S,P,2,1,1,1,0,['KC'],[],HUMAN,F,2,front,0907154805,S_P_F2_KC_L_LL_front_0907154805.jpg,542dd027174b726794e67d828e0bd531
127,T,P,4,3,3,1,1,"['LW', 'GA', 'CP']","['UNKNOWN', 'UNKNOWN']",HUMAN,F,1,front,0907141834,T_P_F1_LW_V_LA_GA_V_W_CP_V_RA_front_0907141834.jpg,9ba733aaf82ae12c3b92c36d00139046
128,S,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,F,3,front,0910105505,S_N_F3_CL_F_LT_LW_V_N_front_0910105505.jpg,96fb7586a7e572384d2b8d63d9b14875
129,S,P,2,2,1,1,1,['CL'],['UNKNOWN'],HUMAN,M,6,front,0906152806,S_P_M6_CL_L_LT_front_0906152806.jpg,4b672f3f1d356144ed41cafdfd0dfd67
130,S,P,2,2,1,1,0,"['LW', 'CL']",['LW'],HUMAN,M,2,front,0904110722,S_P_M2_LW_F_LT_CL_V_N_front_0904110722.jpg,8a73a44dce48b57d882275d333aa52c6
131,S,P,2,2,1,1,0,"['KK', 'GA']",['KK'],HUMAN,M,2,front,0904085549,S_P_M2_KK_F_RL_GA_V_LL_front_0904085549.jpg,f05bbf351feddea7534dfbc2dad3708b
132,S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,4,back,0910155304,S_N_F4_MD_F_RL_SS_V_RL_back_0910155304.jpg,6de34f089d133c70a2a6927e94c4f12a
133,S,P,2,2,1,1,0,"['GA', 'KK']",['GA'],HUMAN,M,4,front,0905140955,S_P_M4_GA_F_S_KK_V_B_front_0905140955.jpg,48df8db9477b99002df120fa44c34e75
134,S,N,1,1,0,0,0,['MD'],[],HUMAN,M,6,front,0906151954,S_N_M6_MD_L_W_front_0906151954.jpg,bbf6efc86630e304f19f1f9cf5351875
135,S,P,2,2,1,1,1,['KC'],['UNKNOWN'],HUMAN,F,2,back,0907154839,S_P_F2_KC_L_RL_back_0907154839.jpg,4dbef88758d14d0c910570cc1f607ab6
136,S,N,1,1,0,0,0,['KC'],[],HUMAN,F,3,front,0910151034,S_N_F3_KC_L_RL_front_0910151034.jpg,5baa69339d8e093f18743efa9f955b6e
137,S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,F,3,back,0910105025,S_N_F3_CP_F_RL_KC_V_LL_back_0910105025.jpg,22be316b47e4347f3fa3384ab797ce18
138,T,P,4,3,3,1,1,"['LW', 'MD', 'SS']","['CK', 'SS']",HUMAN,F,4,back,0910164711,T_P_F4_LW_V_LL_MD_V_RL_SS_V_N_back_0910164711.jpg,b8423e35680ca00d4ade7f411a23baac
