,image,patch_id,class_id,class_label
24,D_P_M6_CK_F_LT_WB_F_S_front_0906153551.jpg,14,3,UNKNOWN
25,D_P_M6_CK_F_LT_WB_F_S_front_0906153551.jpg,14,13,CK
26,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,13,7,GA
27,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,13,8,KK
28,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,13,9,SS
29,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,14,8,KK
30,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,14,9,SS
31,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,16,7,GA
32,T_P_M6_GA_F_RT_KK_F_LT_SS_F_S_front_0906154006.jpg,16,8,KK
33,T_P_F2_MD_F_LT_CK_F_RT_WB_F_S_front_0907160438.jpg,13,3,UNKNOWN
34,T_P_F2_MD_F_LT_CK_F_RT_WB_F_S_front_0907160438.jpg,13,9,SS
35,T_P_F2_MD_F_LT_CK_F_RT_WB_F_S_front_0907160438.jpg,13,12,LW
36,T_P_F2_MD_F_LT_CK_F_RT_WB_F_S_front_0907160438.jpg,16,3,UNKNOWN
37,T_P_F2_MD_F_LT_CK_F_RT_WB_F_S_front_0907160438.jpg,16,9,SS
38,D_P_F2_GA_F_C_KK_F_S_front_0907155750.jpg,10,7,GA
39,D_P_F2_GA_F_C_KK_F_S_front_0907155750.jpg,10,8,KK
40,D_P_F2_GA_F_C_KK_F_S_front_0907155750.jpg,13,7,GA
41,D_P_F2_GA_F_C_KK_F_S_front_0907155750.jpg,13,8,KK
42,T_P_M3_LW_V_N_GA_V_N_SS_V_B_back_0905112601.jpg,13,7,GA
43,T_P_M3_LW_V_N_GA_V_N_SS_V_B_back_0905112601.jpg,13,9,SS
44,T_P_M3_LW_V_N_GA_V_N_SS_V_B_back_0905112601.jpg,13,12,LW
45,T_P_M3_LW_V_N_GA_V_N_SS_V_B_back_0905112601.jpg,16,7,GA
46,T_P_M3_LW_V_N_GA_V_N_SS_V_B_back_0905112601.jpg,16,12,LW
47,T_P_F3_LW_V_LL_SS_V_RL_CP_V_N_back_0910152634.jpg,22,5,CP
48,T_P_F3_LW_V_LL_SS_V_RL_CP_V_N_back_0910152634.jpg,22,12,LW
49,T_P_F3_LW_V_LL_SS_V_RL_CP_V_N_back_0910152634.jpg,25,5,CP
50,T_P_F3_LW_V_LL_SS_V_RL_CP_V_N_back_0910152634.jpg,25,12,LW
51,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,10,6,MD
52,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,10,8,KK
53,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,13,6,MD
54,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,13,7,GA
55,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,13,8,KK
56,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,14,7,GA
57,T_P_M4_GA_L_W_KK_F_S_SS_F_W_front_0905161128.jpg,14,8,KK
58,T_P_F4_MD_V_LL_CK_V_RL_WB_V_N_back_0910164431.jpg,19,3,UNKNOWN
59,T_P_F4_MD_V_LL_CK_V_RL_WB_V_N_back_0910164431.jpg,19,13,CK
60,T_P_F4_MD_V_LL_CK_V_RL_WB_V_N_back_0910164431.jpg,20,3,UNKNOWN
61,T_P_F4_MD_V_LL_CK_V_RL_WB_V_N_back_0910164431.jpg,20,13,CK
62,D_P_F2_SS_F_RT_MD_F_LT_front_0907155858.jpg,13,6,MD
63,D_P_F2_SS_F_RT_MD_F_LT_front_0907155858.jpg,13,9,SS
64,D_P_F2_SS_F_RT_MD_F_LT_front_0907155858.jpg,16,6,MD
65,D_P_F2_SS_F_RT_MD_F_LT_front_0907155858.jpg,16,9,SS
66,D_P_M6_GA_F_W_KK_F_W_front_0906153117.jpg,13,7,GA
67,D_P_M6_GA_F_W_KK_F_W_front_0906153117.jpg,13,8,KK
68,D_P_M6_GA_F_W_KK_F_W_front_0906153117.jpg,16,7,GA
69,D_P_M6_GA_F_W_KK_F_W_front_0906153117.jpg,16,8,KK
70,T_P_M3_MD_F_S_CK_F_RT_WB_F_LT_front_0905112021.jpg,13,6,MD
71,T_P_M3_MD_F_S_CK_F_RT_WB_F_LT_front_0905112021.jpg,13,13,CK
72,T_P_M3_MD_F_S_CK_F_RT_WB_F_LT_front_0905112021.jpg,16,11,WB
73,T_P_M3_MD_F_S_CK_F_RT_WB_F_LT_front_0905112021.jpg,16,13,CK
74,S_P_M2_MD_F_RL_SS_V_LL_front_0904093711.jpg,22,3,UNKNOWN
75,S_P_M2_MD_F_RL_SS_V_LL_front_0904093711.jpg,22,13,CK
76,S_P_M2_MD_F_RL_SS_V_LL_front_0904093711.jpg,25,3,UNKNOWN
77,S_P_M2_MD_F_RL_SS_V_LL_front_0904093711.jpg,25,13,CK
78,D_P_M3_GA_F_RT_KK_F_LT_front_0905110507.jpg,13,7,GA
79,D_P_M3_GA_F_RT_KK_F_LT_front_0905110507.jpg,13,8,KK
80,D_P_M3_GA_F_RT_KK_F_LT_front_0905110507.jpg,16,7,GA
81,D_P_M3_GA_F_RT_KK_F_LT_front_0905110507.jpg,16,8,KK
82,D_P_M3_GA_F_RT_KK_F_LT_front_0905110507.jpg,19,7,GA
83,D_P_M3_GA_F_RT_KK_F_LT_front_0905110507.jpg,19,8,KK
84,S_P_F1_GA_F_LA_KK_V_B_back_0907090421.jpg,6,3,UNKNOWN
85,S_P_F1_GA_F_LA_KK_V_B_back_0907090421.jpg,6,8,KK
86,S_P_F1_GA_F_LA_KK_V_B_back_0907090421.jpg,9,3,UNKNOWN
87,S_P_F1_GA_F_LA_KK_V_B_back_0907090421.jpg,9,8,KK
88,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,12,7,GA
89,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,12,8,KK
90,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,13,7,GA
91,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,13,8,KK
92,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,15,7,GA
93,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,15,8,KK
94,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,16,7,GA
95,D_P_M1_GA_F_RT_KK_F_W_front_0903163950.jpg,16,8,KK
96,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,10,7,GA
97,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,10,8,KK
98,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,11,7,GA
99,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,11,8,KK
100,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,13,7,GA
101,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,13,8,KK
102,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,14,7,GA
103,D_P_F1_GA_F_C_KK_F_S_front_0907140445.jpg,14,8,KK
104,D_P_M3_CK_F_LT_WB_F_RT_front_0905110802.jpg,13,11,WB
105,D_P_M3_CK_F_LT_WB_F_RT_front_0905110802.jpg,13,13,CK
106,D_P_M3_CK_F_LT_WB_F_RT_front_0905110802.jpg,16,11,WB
107,D_P_M3_CK_F_LT_WB_F_RT_front_0905110802.jpg,16,13,CK
108,D_P_F2_CK_F_LT_WB_F_S_front_0907155955.jpg,13,6,MD
109,D_P_F2_CK_F_LT_WB_F_S_front_0907155955.jpg,13,11,WB
110,D_P_F2_CK_F_LT_WB_F_S_front_0907155955.jpg,16,6,MD
111,D_P_F2_CK_F_LT_WB_F_S_front_0907155955.jpg,16,11,WB
112,D_P_F3_KC_V_LL_CP_V_RL_back_0910151943.jpg,22,5,CP
113,D_P_F3_KC_V_LL_CP_V_RL_back_0910151943.jpg,22,10,KC
114,D_P_F3_KC_V_LL_CP_V_RL_back_0910151943.jpg,25,5,CP
115,D_P_F3_KC_V_LL_CP_V_RL_back_0910151943.jpg,25,10,KC
116,T_P_M4_LW_F_LL_GA_F_W_SS_F_W_front_0905162201.jpg,13,3,UNKNOWN
117,T_P_M4_LW_F_LL_GA_F_W_SS_F_W_front_0905162201.jpg,13,9,SS
118,D_P_F3_SS_F_LL_MD_F_RL_front_0910151743.jpg,19,6,MD
119,D_P_F3_SS_F_LL_MD_F_RL_front_0910151743.jpg,19,9,SS
120,D_P_F3_SS_F_LL_MD_F_RL_front_0910151743.jpg,22,6,MD
121,D_P_F3_SS_F_LL_MD_F_RL_front_0910151743.jpg,22,9,SS
122,D_P_F3_SS_F_LL_MD_F_RL_front_0910151743.jpg,25,6,MD
123,D_P_F3_SS_F_LL_MD_F_RL_front_0910151743.jpg,25,9,SS
124,D_P_M2_GA_F_LL_KK_F_RT_front_0904130506.jpg,19,7,GA
125,D_P_M2_GA_F_LL_KK_F_RT_front_0904130506.jpg,19,8,KK
126,S_P_F3_CL_F_LT_LW_V_N_front_0910105447.jpg,16,5,CP
127,S_P_F3_CL_F_LT_LW_V_N_front_0910105447.jpg,16,14,CL
128,S_P_F3_CL_F_LT_LW_V_N_front_0910105447.jpg,17,5,CP
129,S_P_F3_CL_F_LT_LW_V_N_front_0910105447.jpg,17,14,CL
130,D_P_F2_KC_F_LT_CP_F_RT_front_0907160109.jpg,13,5,CP
131,D_P_F2_KC_F_LT_CP_F_RT_front_0907160109.jpg,13,10,KC
132,D_P_F2_KC_F_LT_CP_F_RT_front_0907160109.jpg,16,5,CP
133,D_P_F2_KC_F_LT_CP_F_RT_front_0907160109.jpg,16,10,KC
134,D_P_M5_CK_F_S_WB_F_LT_front_0906104107.jpg,13,11,WB
135,D_P_M5_CK_F_S_WB_F_LT_front_0906104107.jpg,13,13,CK
136,T_P_M5_LW_F_LT_GA_F_W_SS_F_C_front_0906104939.jpg,13,7,GA
137,T_P_M5_LW_F_LT_GA_F_W_SS_F_C_front_0906104939.jpg,13,9,SS
138,T_P_M5_LW_F_LT_GA_F_W_SS_F_C_front_0906104939.jpg,16,7,GA
139,T_P_M5_LW_F_LT_GA_F_W_SS_F_C_front_0906104939.jpg,16,12,LW
140,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,10,7,GA
141,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,10,8,KK
142,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,12,8,KK
143,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,12,9,SS
144,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,13,7,GA
145,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,13,8,KK
146,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,13,9,SS
147,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,15,8,KK
148,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,15,9,SS
149,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,16,8,KK
150,T_P_F2_GA_F_C_KK_F_S_SS_F_RT_front_0907160318.jpg,16,9,SS
151,S_P_M5_KK_F_LT_GA_V_RL_front_0906084105.jpg,16,8,KK
152,S_P_M5_KK_F_LT_GA_V_RL_front_0906084105.jpg,16,14,CL
153,S_P_M5_KK_F_LT_GA_V_RL_front_0906084105.jpg,19,8,KK
154,S_P_M5_KK_F_LT_GA_V_RL_front_0906084105.jpg,19,14,CL
155,D_P_M3_SS_F_C_MD_F_S_front_0905110643.jpg,10,3,UNKNOWN
156,D_P_M3_SS_F_C_MD_F_S_front_0905110643.jpg,10,9,SS
157,T_P_M1_GA_F_LT_KK_F_C_SS_F_W_front_0903164908.jpg,13,7,GA
158,T_P_M1_GA_F_LT_KK_F_C_SS_F_W_front_0903164908.jpg,13,8,KK
159,T_P_M1_GA_F_LT_KK_F_C_SS_F_W_front_0903164908.jpg,13,9,SS
160,T_P_M1_GA_F_LT_KK_F_C_SS_F_W_front_0903164908.jpg,16,7,GA
161,T_P_M1_GA_F_LT_KK_F_C_SS_F_W_front_0903164908.jpg,16,9,SS
162,D_P_M2_CL_F_RT_LW_F_LT_front_0904130955.jpg,16,12,LW
163,D_P_M2_CL_F_RT_LW_F_LT_front_0904130955.jpg,16,14,CL
164,S_P_F4_GA_F_LL_KK_V_RL_front_0910153507.jpg,19,3,UNKNOWN
165,S_P_F4_GA_F_LL_KK_V_RL_front_0910153507.jpg,19,7,GA
166,S_P_F4_GA_F_LL_KK_V_RL_front_0910153507.jpg,22,3,UNKNOWN
167,S_P_F4_GA_F_LL_KK_V_RL_front_0910153507.jpg,22,7,GA
168,S_P_F4_GA_F_LL_KK_V_RL_front_0910153507.jpg,25,3,UNKNOWN
169,S_P_F4_GA_F_LL_KK_V_RL_front_0910153507.jpg,25,7,GA
170,T_P_M5_KC_F_LT_CP_F_W_CL_F_RT_front_0906104815.jpg,16,5,CP
171,T_P_M5_KC_F_LT_CP_F_W_CL_F_RT_front_0906104815.jpg,16,10,KC
172,T_P_M5_KC_F_LT_CP_F_W_CL_F_RT_front_0906104815.jpg,16,14,CL
173,D_P_F1_SS_V_B_MD_V_B_back_0907140704.jpg,10,6,MD
174,D_P_F1_SS_V_B_MD_V_B_back_0907140704.jpg,10,9,SS
175,D_P_F1_SS_V_B_MD_V_B_back_0907140704.jpg,13,6,MD
176,D_P_F1_SS_V_B_MD_V_B_back_0907140704.jpg,13,9,SS
177,T_P_F1_GA_F_W_KK_F_C_SS_F_LA_front_0907141310.jpg,13,7,GA
178,T_P_F1_GA_F_W_KK_F_C_SS_F_LA_front_0907141310.jpg,13,8,KK
179,D_P_M6_KC_F_RT_CP_F_LT_front_0906153659.jpg,13,5,CP
180,D_P_M6_KC_F_RT_CP_F_LT_front_0906153659.jpg,13,10,KC
181,D_P_M6_KC_F_RT_CP_F_LT_front_0906153659.jpg,16,5,CP
182,D_P_M6_KC_F_RT_CP_F_LT_front_0906153659.jpg,16,10,KC
183,D_P_F4_GA_F_LT_KK_F_RT_front_0910163853.jpg,16,3,UNKNOWN
184,D_P_F4_GA_F_LT_KK_F_RT_front_0910163853.jpg,16,8,KK
185,D_P_F4_GA_F_LT_KK_F_RT_front_0910163853.jpg,19,3,UNKNOWN
186,D_P_F4_GA_F_LT_KK_F_RT_front_0910163853.jpg,19,8,KK
187,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,13,5,CP
188,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,13,10,KC
189,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,15,5,CP
190,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,15,14,CL
191,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,16,5,CP
192,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,16,10,KC
193,T_P_M3_KC_F_LT_CP_F_W_CL_F_RT_front_0905112248.jpg,16,14,CL
194,D_P_F3_CL_V_RL_LW_V_LL_back_0910152040.jpg,22,12,LW
195,D_P_F3_CL_V_RL_LW_V_LL_back_0910152040.jpg,22,14,CL
196,D_P_F3_CL_V_RL_LW_V_LL_back_0910152040.jpg,25,12,LW
197,D_P_F3_CL_V_RL_LW_V_LL_back_0910152040.jpg,25,14,CL
198,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,19,3,UNKNOWN
199,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,19,8,KK
200,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,20,3,UNKNOWN
201,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,20,8,KK
202,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,22,3,UNKNOWN
203,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,22,9,SS
204,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,25,3,UNKNOWN
205,T_P_F4_GA_V_RL_KK_V_N_SS_V_LL_back_0910164338.jpg,25,9,SS
206,D_P_M3_KC_F_LT_CP_F_RT_front_0905110856.jpg,13,5,CP
207,D_P_M3_KC_F_LT_CP_F_RT_front_0905110856.jpg,13,10,KC
208,D_P_M3_KC_F_LT_CP_F_RT_front_0905110856.jpg,16,5,CP
209,D_P_M3_KC_F_LT_CP_F_RT_front_0905110856.jpg,16,10,KC
210,T_P_M3_GA_F_RT_KK_F_LT_SS_F_C_front_0905111312.jpg,13,7,GA
211,T_P_M3_GA_F_RT_KK_F_LT_SS_F_C_front_0905111312.jpg,13,14,CL
212,T_P_M3_GA_F_RT_KK_F_LT_SS_F_C_front_0905111312.jpg,16,7,GA
213,T_P_M3_GA_F_RT_KK_F_LT_SS_F_C_front_0905111312.jpg,16,14,CL
214,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,13,7,GA
215,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,13,8,KK
216,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,14,7,GA
217,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,14,8,KK
218,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,16,7,GA
219,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,16,8,KK
220,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,17,7,GA
221,S_P_F4_GA_F_S_KK_V_LL_back_0910153007.jpg,17,8,KK
222,T_P_M1_LW_F_RT_MD_F_S_WB_F_LT_front_0903165454.jpg,16,11,WB
223,T_P_M1_LW_F_RT_MD_F_S_WB_F_LT_front_0903165454.jpg,16,12,LW
224,S_P_M4_KK_F_LL_GA_V_RL_front_0905142350.jpg,19,8,KK
225,S_P_M4_KK_F_LL_GA_V_RL_front_0905142350.jpg,19,13,CK
226,S_P_M4_KK_F_LL_GA_V_RL_front_0905142350.jpg,22,8,KK
227,S_P_M4_KK_F_LL_GA_V_RL_front_0905142350.jpg,22,13,CK
