char1,char2,filename_bbox_count,xml_content_bbox_count,gross_count,presence,mismatch,keys_filename,key_xml_content,human_key,subject_gender,subject_id,front_back,time,file,file_id
S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,F,2,front,907151118,S_N_F2_CP_F_RA_KC_V_N_front_0907151118.jpg,2a8e47d357609480bc93bde1079d236d
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,front,903124359,S_N_M1_GA_F_W_KK_V_W_front_0903124359.jpg,b66ffb0ed54532e91ca879f9f1e2370f
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['GA'],[],HUMAN,M,3,front,905103042,S_N_M3_GA_R_W_front_0905103042.jpg,e640b847bbd6e6e733af76d5e0ab6c75
S,P,2,1,1,1,0,"['CL', 'LW']",[],HUMAN,F,1,front,907101541,S_P_F1_CL_F_C_LW_V_LA_front_0907101541.jpg,2eed4f15c20d88cafd35084569906ffb
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,F,1,front,907101104,S_N_F1_CP_F_RL_KC_V_RL_front_0907101104.jpg,c0cba05c14103f28b5b1435d3d102a3c
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['CK'],[],HUMAN,F,3,back,910111555,S_P_F3_CK_R_RL_back_0910111555.jpg,1fd936fafffef356e63bde166e204b2f
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,1,front,903144426,S_N_M1_CK_F_RL_WB_V_W_front_0903144426.jpg,828a7dbf6c37722dce7f39e00601b035
S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,3,front,905102055,S_N_M3_LW_F_RL_CL_V_RL_front_0905102055.jpg,2b762967f32a6bee759d90a96aaccc24
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['MD'],[],HUMAN,F,3,front,910111452,S_P_F3_MD_L_LL_front_0910111452.jpg,1f11660b89b8513b4839410e8e1d26fc
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,F,1,front,907090639,S_N_F1_GA_F_C_KK_V_LT_front_0907090639.jpg,5735f043652e2d581aa0060e10992b54
S,P,2,1,1,1,0,['CK'],[],HUMAN,M,1,back,903162012,S_P_M1_CK_R_RA_back_0903162012.jpg,baf14fba60464ce7c18ccad90bce0f91
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,F,1,back,907092704,S_N_F1_SS_F_RL_MD_V_RL_back_0907092704.jpg,6e7e6504dfdef1be7523e47db3c970b7
S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,M,2,front,904085208,S_N_M2_KK_F_RT_GA_V_N_front_0904085208.jpg,049e7834adfb5f4df4bf63151cbeb838
S,P,2,2,1,1,1,"['MD', 'SS']",['UNKNOWN'],HUMAN,M,3,front,905091223,S_P_M3_MD_F_RA_SS_V_LA_front_0905091223.jpg,37cf3b26baf67fd92f7227475a0a29e8
S,N,1,1,0,0,0,['CL'],[],HUMAN,M,3,front,905105914,S_N_M3_CL_L_W_front_0905105914.jpg,2d0d2b98247bde1f2a6788506e27f067
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,"['LW', 'CL']",[],HUMAN,M,3,back,905101544,S_P_M3_LW_F_W_CL_V_N_back_0905101544.jpg,44670d311341d308f632ae595ffb7df2
S,P,2,2,1,1,1,"['WB', 'CK']",['UNKNOWN'],HUMAN,M,2,back,904100227,S_P_M2_WB_F_RT_CK_V_LL_back_0904100227.jpg,3a3ed8fa54fdefca2c9c12031d24f334
,,,,,,,,,,,,,,,
D,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,front,903164009,D_N_M1_GA_F_RT_KK_F_W_front_0903164009.jpg,c10c995eb09f01415763c61117d00efd
,,,,,,,,,,,,,,,
T,N,1,1,0,0,0,"['GA', 'KK', 'SS']",[],HUMAN,F,2,back,907160352,T_N_F2_GA_F_C_KK_F_S_SS_F_RT_back_0907160352.jpg,b38f35ec438075fdad2b4633753b978d
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['CP'],[],HUMAN,F,2,front,907154931,S_N_F2_CP_L_LL_front_0907154931.jpg,19271b2fa83af9c0dc9d826e85f7bd94
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['MD'],[],HUMAN,F,2,back,907154327,S_N_F2_MD_R_RL_back_0907154327.jpg,8fbc0d2d7a8c4597b532808aec8f800a
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,3,back,910102704,S_N_F3_CK_F_RA_WB_V_W_back_0910102704.jpg,b7db21cdad84ec79d01e39de1ce46c34
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['WB'],[],HUMAN,M,2,back,904113242,S_N_M2_WB_R_W_back_0904113242.jpg,48ddb7c9d7b6ad133ae7b0329efaa6b7
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,F,3,front,910094852,S_N_F3_GA_F_S_KK_V_B_front_0910094852.jpg,0f1735f5834002de1850022d0612b3db
S,P,2,1,1,1,0,['LW'],[],HUMAN,F,3,front,910151415,S_P_F3_LW_L_LL_front_0910151415.jpg,3c6bf03ba9029a2dee57e5587b1de3cf
S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,M,2,back,904101537,S_N_M2_KC_F_RA_CP_V_LA_back_0904101537.jpg,79fff1d81ffb79788de607f7a0ba27ee
S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,1,back,903153049,S_N_M1_LW_F_LT_CL_V_W_back_0903153049.jpg,e76dce69e27250cdf26ed34c2a628995
S,P,2,2,1,1,1,['GA'],['UNKNOWN'],HUMAN,F,2,front,907153539,S_P_F2_GA_R_RT_front_0907153539.jpg,5c06e6159c4ce4e03be192125d64cfd6
S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,back,903125335,S_N_M1_GA_F_LT_KK_V_RT_back_0903125335.jpg,ac068a77364deef2cdee853dc4c15f83
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['GA'],[],HUMAN,F,3,back,910111026,S_N_F3_GA_R_W_back_0910111026.jpg,e342c645e5c5c48e8e001d953b785758
S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,M,3,back,905095756,S_N_M3_CP_F_RL_KC_V_LL_back_0905095756.jpg,bcc8f8604a1ee42ad0e3173131cd9199
T,P,4,1,3,1,0,"['GA', 'KK', 'SS']",[],HUMAN,F,1,back,907141310,T_P_F1_GA_F_W_KK_F_C_SS_F_LA_back_0907141310.jpg,f04eec408565ed8847fe680cd076a0f0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,3,front,910102704,S_N_F3_CK_F_RA_WB_V_W_front_0910102704.jpg,275948c83c26422f0ad44944d5902907
S,P,2,2,1,1,1,"['WB', 'CK']",['UNKNOWN'],HUMAN,M,3,back,905092439,S_P_M3_WB_F_S_CK_V_LA_back_0905092439.jpg,32f2ae31222423b0305bb7657e28d7c2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,['GA'],['UNKNOWN'],HUMAN,M,2,back,904111845,S_P_M2_GA_R_W_back_0904111845.jpg,09195f65fc71a4e8ee8c31082acb7db8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,F,1,back,907091704,S_N_F1_KK_F_LA_GA_V_LL_back_0907091704.jpg,f029649f052b23119ebd9501290723b1
S,N,1,1,0,0,0,['KC'],[],HUMAN,M,3,front,905105334,S_N_M3_KC_R_W_front_0905105334.jpg,8fbae9e63ebab1cfb8406a2272b96250
S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,2,back,904091058,S_N_M2_SS_F_C_MD_V_W_back_0904091058.jpg,fb69e7cb458bae918682db794c610d7d
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,"['CK', 'WB']",['UNKNOWN'],HUMAN,F,3,front,910102638,S_P_F3_CK_F_RA_WB_V_W_front_0910102638.jpg,0178a6f147582a16bd7a1425316f8816
S,P,2,1,1,1,0,['CK'],[],HUMAN,F,2,back,907154426,S_P_F2_CK_L_LL_back_0907154426.jpg,59c54593c8223d1c76bcdea0634fcc3d
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['LW'],[],HUMAN,F,2,front,907155306,S_N_F2_LW_L_LL_front_0907155306.jpg,8b93f0bc086794751ad63746c02b5fe1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['LW'],[],HUMAN,F,2,back,907155344,S_N_F2_LW_L_RL_back_0907155344.jpg,f0e77596ae2ea6f6bd739a7b880b695a
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['KC'],[],HUMAN,F,2,front,907154805,S_P_F2_KC_L_LL_front_0907154805.jpg,542dd027174b726794e67d828e0bd531
T,P,4,3,3,1,1,"['LW', 'GA', 'CP']","['UNKNOWN', 'UNKNOWN']",HUMAN,F,1,front,907141834,T_P_F1_LW_V_LA_GA_V_W_CP_V_RA_front_0907141834.jpg,9ba733aaf82ae12c3b92c36d00139046
S,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,F,3,front,910105505,S_N_F3_CL_F_LT_LW_V_N_front_0910105505.jpg,96fb7586a7e572384d2b8d63d9b14875
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,['KC'],['UNKNOWN'],HUMAN,F,2,back,907154839,S_P_F2_KC_L_RL_back_0907154839.jpg,4dbef88758d14d0c910570cc1f607ab6
S,N,1,1,0,0,0,['KC'],[],HUMAN,F,3,front,910151034,S_N_F3_KC_L_RL_front_0910151034.jpg,5baa69339d8e093f18743efa9f955b6e
S,N,1,1,0,0,0,"['CP', 'KC']",[],HUMAN,F,3,back,910105025,S_N_F3_CP_F_RL_KC_V_LL_back_0910105025.jpg,22be316b47e4347f3fa3384ab797ce18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,"['KK', 'GA']",['UNKNOWN'],HUMAN,F,3,back,910095721,S_P_F3_KK_F_LT_GA_V_N_back_0910095721.jpg,3cc872d808c121f9f3b85b473ad320e1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,2,front,904111150,S_N_M2_LW_F_LL_CL_V_RL_front_0904111150.jpg,f2d46cf684b4dfeb3ebe98cb4882f581
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
T,N,1,1,0,0,0,"['KC', 'CP', 'CL']",[],HUMAN,F,1,front,907141725,T_N_F1_KC_F_LA_CP_F_RA_CL_F_S_front_0907141725.jpg,9389e56638ec2af4b29b03fad50409b1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['GA'],[],HUMAN,M,1,front,903154831,S_N_M1_GA_R_W_front_0903154831.jpg,820b5fd393ceac2612e1bf49be2e8b56
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['CK'],[],HUMAN,F,3,back,910111710,S_P_F3_CK_L_RL_back_0910111710.jpg,c2ff96c8b07818936b2676af42062d07
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,M,3,front,905091435,S_N_M3_MD_F_LT_SS_V_N_front_0905091435.jpg,6750da3d48a9b047ca0a8d76b769c9b4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,M,1,front,903130428,S_N_M1_GA_F_S_KK_V_W_front_0903130428.jpg,9b442bcdc995b6c0ac9b3f7c37df32f5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,M,1,front,903143147,S_N_M1_CK_F_LT_WB_V_W_front_0903143147.jpg,787fec3a93ac45e4fd4c59da607694bf
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,2,back,907144820,S_N_F2_MD_F_RL_SS_V_N_back_0907144820.jpg,93385ccdae59575a528598c339034da2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['GA'],[],HUMAN,M,3,back,905103127,S_N_M3_GA_L_LL_back_0905103127.jpg,d2706ac99cb5ad05db1f2f71ad63fa56
S,P,2,1,1,1,0,['MD'],[],HUMAN,F,2,front,907154311,S_P_F2_MD_R_RL_front_0907154311.jpg,6e089b65885a8c2df1709c13fe1f3782
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['KC'],[],HUMAN,M,1,front,903162838,S_N_M1_KC_R_RA_front_0903162838.jpg,356e0563f7be2c77bba3c13f3ba503ba
,,,,,,,,,,,,,,,
S,P,2,3,1,1,1,"['GA', 'KK']","['UNKNOWN', 'UNKNOWN']",HUMAN,F,2,front,907143554,S_P_F2_GA_F_RT_KK_V_LL_front_0907143554.jpg,52b65bf7cf3e62273cbd4ccfb28b34b4
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,F,1,back,907101715,S_N_F1_CL_F_W_LW_V_B_back_0907101715.jpg,b9ba062c93fb948bf42d183ce254b950
D,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,1,front,903164338,D_N_M1_SS_F_RA_MD_F_C_front_0903164338.jpg,c1f32f226eac9bfd414081cb4fe8d6bc
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['LW'],[],HUMAN,M,1,front,903163754,S_N_M1_LW_R_W_front_0903163754.jpg,ca1c9f2a7fd037aa352862a992ca08c7
S,P,2,1,1,1,0,['CK'],[],HUMAN,F,1,back,907111656,S_P_F1_CK_R_LL_back_0907111656.jpg,96e7658b41256c900bb026a8361ff7bf
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,F,3,back,910104305,S_N_F3_KC_F_RL_CP_V_LL_back_0910104305.jpg,b30050ea1d4c4ae45effec57154617c4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,F,2,back,907150531,S_N_F2_KC_F_RL_CP_V_RL_back_0907150531.jpg,75fc6eded60f4ed440fc6a93c2ee5a3e
D,P,3,2,2,1,1,"['CK', 'WB']",['UNKNOWN'],HUMAN,F,3,back,910151837,D_P_F3_CK_V_LL_WB_V_RL_back_0910151837.jpg,dd2787d96ba7319140f54c0717b434c0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,3,back,910101904,S_N_F3_MD_F_RA_SS_V_B_back_0910101904.jpg,99e423daaa439d508a41447b5ff0b401
S,N,1,1,0,0,0,"['CK', 'WB']",[],HUMAN,F,2,back,907145409,S_N_F2_CK_F_LL_WB_V_RL_back_0907145409.jpg,9f6f64d61aec89d168f193924974d65b
S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,F,3,front,910101653,S_N_F3_SS_F_RL_MD_V_LL_front_0910101653.jpg,2365f1828d35ae6fb6cc0e645fc92116
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,M,2,back,904093414,S_N_M2_MD_F_C_SS_V_B_back_0904093414.jpg,5e4cb6085b92a03b2c171c7773f2564a
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['KK', 'GA']",[],HUMAN,M,2,front,904085605,S_N_M2_KK_F_RL_GA_V_LL_front_0904085605.jpg,55eb9328b2d2ad0826ddf4435321a565
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
T,N,1,1,0,0,0,"['MD', 'CK', 'WB']",[],HUMAN,M,1,back,903165108,T_N_M1_MD_F_C_CK_F_RA_WB_F_RT_back_0903165108.jpg,0dc991c681b63faf6010f030b302b0cb
S,P,2,1,1,1,0,['LW'],[],HUMAN,M,1,back,903163742,S_P_M1_LW_R_W_back_0903163742.jpg,9511d4203ecde7c49c9e211c8ea66c31
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['CL'],[],HUMAN,F,2,front,907155206,S_P_F2_CL_R_RL_front_0907155206.jpg,d6fa059c53d4be0446f07c78c3984af0
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,F,3,back,910102440,S_N_F3_MD_F_RL_SS_V_LL_back_0910102440.jpg,9225a39f138204e5be4c76626fc87c12
,,,,,,,,,,,,,,,
S,P,2,1,1,1,0,['CL'],[],HUMAN,M,1,back,903163552,S_P_M1_CL_R_W_back_0903163552.jpg,3c466fdf8cff93ea958be820f28ae42b
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['SS'],[],HUMAN,F,3,back,910111354,S_N_F3_SS_R_LL_back_0910111354.jpg,c4403c07486ec84fae870f6bc5f95c43
S,N,1,1,0,0,0,['CP'],[],HUMAN,M,1,back,903163120,S_N_M1_CP_R_W_back_0903163120.jpg,4dac31e0018927535691c29f2e5b5000
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['KK'],[],HUMAN,M,1,back,903155031,S_N_M1_KK_L_W_back_0903155031.jpg,8d31f49bdd328be509b3fd3a495c7359
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,M,1,back,903164338,D_N_M1_SS_F_RA_MD_F_C_back_0903164338.jpg,55c6bd5a8b75372bc0053ee835731d82
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,"['GA', 'KK']",['UNKNOWN'],HUMAN,F,2,front,907143324,S_P_F2_GA_F_LL_KK_V_N_front_0907143324.jpg,a2053c62eeb50ca8aa136b2e00c4df64
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['WB', 'CK']",[],HUMAN,F,1,back,907095121,S_N_F1_WB_F_RA_CK_V_W_back_0907095121.jpg,78f9961cb28fdba9d44309deb6605375
S,P,2,1,1,1,0,['KK'],[],HUMAN,M,3,back,905103156,S_P_M3_KK_R_W_back_0905103156.jpg,6e69dd5db07a41ed02c3ca021654a03f
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['KC'],[],HUMAN,F,2,back,907154852,S_N_F2_KC_L_RL_back_0907154852.jpg,a90c896df20b494fc07de491b1403e83
S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,M,1,front,903151753,S_N_M1_KC_F_LT_CP_V_LA_front_0903151753.jpg,1e6501785916885ce0603e05f15f3947
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
T,P,4,1,3,1,0,"['LW', 'SS', 'CP']",[],HUMAN,F,3,front,910152634,T_P_F3_LW_V_LL_SS_V_RL_CP_V_N_front_0910152634.jpg,cac06aab25118128db0ed843d9a1da7b
S,N,1,1,0,0,0,"['WB', 'CK']",[],HUMAN,F,1,front,907094605,S_N_F1_WB_F_S_CK_V_LA_front_0907094605.jpg,022f9217ba1aa21880192e66b38f9046
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,M,3,front,905091338,S_N_M3_MD_F_W_SS_V_W_front_0905091338.jpg,0bd7cb24ba309278c52d7f0dba6bd906
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['LW'],[],HUMAN,F,3,front,910151428,S_N_F3_LW_L_LL_front_0910151428.jpg,2a0be2bd0a2d4e2665e6b302f6d2b9b3
S,N,1,1,0,0,0,"['KC', 'CP']",[],HUMAN,F,2,back,907150745,S_N_F2_KC_F_LA_CP_V_N_back_0907150745.jpg,7a07b6cd422e29a59eb773743498638d
S,N,1,1,0,0,0,"['SS', 'MD']",[],HUMAN,F,1,back,907092501,S_N_F1_SS_F_LA_MD_V_RA_back_0907092501.jpg,b34a2df2d25affbe7b97e46706a24d63
S,N,1,1,0,0,0,"['GA', 'KK']",[],HUMAN,F,2,back,907143423,S_N_F2_GA_F_RL_KK_V_N_back_0907143423.jpg,71e50a4f4a30a636fa96b77b3209e928
,,,,,,,,,,,,,,,
D,P,3,1,2,1,0,"['GA', 'KK']",[],HUMAN,F,2,back,907155750,D_P_F2_GA_F_C_KK_F_S_back_0907155750.jpg,55be2d48f44e0d3602aaff00e2a66ce3
D,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,F,1,front,907141138,D_N_F1_CL_V_LA_LW_V_RA_front_0907141138.jpg,ad14c8625a88cebd65e3586f1758974b
S,N,1,1,0,0,0,['LW'],[],HUMAN,F,3,back,910151428,S_N_F3_LW_L_LL_back_0910151428.jpg,1eb9e7f78b01f7ab8e4f7306d2dd8f84
S,N,1,1,0,0,0,"['CL', 'LW']",[],HUMAN,F,2,back,907151504,S_N_F2_CL_F_RT_LW_V_LL_back_0907151504.jpg,43b04031c60680cc10e0c819322f3850
,,,,,,,,,,,,,,,
S,P,2,2,1,1,1,"['WB', 'CK']",['UNKNOWN'],HUMAN,M,3,back,905092642,S_P_M3_WB_F_W_CK_V_W_back_0905092642.jpg,9f28d8a7d3cde679cb972760612145e0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['SS'],[],HUMAN,M,1,back,903155526,S_N_M1_SS_R_RT_back_0903155526.jpg,20409f7c8b22356ad635f94ebc723f6e
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['LW', 'CL']",[],HUMAN,M,1,front,903153049,S_N_M1_LW_F_LT_CL_V_W_front_0903153049.jpg,1813c9efa63e0e7685066edf049bdf7d
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['WB'],[],HUMAN,F,3,front,910111818,S_N_F3_WB_L_LL_front_0910111818.jpg,04b30bc8a4d33467c3f8dc1b016e1b93
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,['SS'],[],HUMAN,F,1,front,907111152,S_N_F1_SS_L_LL_front_0907111152.jpg,d78645ae9be28509604ced115ddd7064
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
S,N,1,1,0,0,0,"['MD', 'SS']",[],HUMAN,M,2,front,904093922,S_N_M2_MD_F_W_SS_V_W_front_0904093922.jpg,17de17e1152990888dc750bf787f5ae1
